Review,Rating,Date
,1,18 thg 8 2020
,1,21 thg 9 2020
,1,13 thg 11 2020
hàng ok lắm  ,1,29 thg 12 2023
,1,19 thg 10 2021
,1,12 thg 10 2020
"Phù hợp cho cả sử dụng trong nhà và ngoài trời,  ",2,09 thg 9 2024
OK với tầm giá  ,2,18 thg 1 2024
hàng chất lượng cảm ơn shòp ,2,13 thg 12 2023
,3,08 thg 8 2020
tốt,3,09 thg 7 2020
,3,29 thg 4 2022
,3,19 thg 1 2024
congnghehoangnguyen.com 😍😍😍,3,12 thg 6 2021
,3,4 tuần trước
,3,26 thg 6 2020
"Shop thân thiện giao đúng hàng ,giao hàng nhanh ,đủ số lượng ,hình ảnh minh hoạ nhận xu vì mình lười chụp.",3,22 thg 6 2023
"chất lượng tốt ,đáng tin cậy ",3,05 thg 11 2023
,3,23 thg 8 2020
OK hình ảnh như quảng cáo chất lượng hình ảnh trong tầm tiền này là ok lắm còn bền hay không để thời gian trả lời,3,10 thg 6 2022
"Chất lượng hình ảnh tuyệt vời,cài đặt dễ dàng ủng hộ shop",3,19 thg 6 2023
Hàng ok đợt trước thấy còn niêm phong còn đợt này thấy bóc niêm phong tung toé hy vọng sản phẩm không có lỗi gì,3,18 thg 11 2020
,3,3 tuần trước
Oki đây ,3,30 thg 8 2023
camera chất lượng hàng mới tin cho shop năm sao mọi nguoi nên mua shop này nhé chúc shop mua mai bán đắt nhé ,3,14 thg 8 2022
,3,17 thg 10 2023
"Giá Cả: giá hợp lý
 Kết nối: tốt
 Độ phân giải: đẹp
 ",3,26 thg 2 2024
"đã lắp xong camera, màn hình rõ dễ sử dụng shop giao hàng nhanh nữa mới đặc hôm trước hôm sau đã có, đóng gói cẩn thận rất uy tính.  ",3,08 thg 12 2023
"Hàng đúng với miêu tả, xem được cùng lúc nhiều tài khoản mà bị cái hơi lag",4,14 thg 7 2023
sp chất lượng,4,22 thg 6 2023
,4,28 thg 1 2021
ôn trong tầm giá  ,4,08 thg 2 2024
Good,4,27 thg 7 2020
,4,25 thg 9 2021
,4,21 thg 11 2021
,4,18 thg 5 2021
Dễ cài đặt ,4,21 thg 12 2023
dùng tạm,4,01 thg 10 2020
,4,06 thg 10 2020
GIAO HANG NHANH ,4,26 thg 1 2022
"ok, chỉ có một từ ngon Thôi bây giờ đặt thêm một cái khác nữa nè",4,29 thg 8 2022
Giao hàng nhanh ,4,25 thg 9 2020
"Quá ok với tầm tiền này. so sánh cùng phân khúc same same với imou, giá tốt hơn xíu ",4,11 thg 7 2024
,4,11 thg 12 2023
"Đã nhận được hàng,giao hàng nhanh,shipper thân thiện, hình ảnh mang tính chất lấy xu,thanks shop. ",4,16 thg 12 2023
,4,28 thg 12 2022
sản phẩm OK. nguyên hộp từ nhà sản xuất. ,4,21 thg 8 2020
"Ok tốt nhanh , sẽ ủng hộ thêm ",4,16 thg 1 2023
,4,30 thg 10 2020
,4,05 thg 11 2020
,4,09 thg 5 2021
"hàng ok đẹp, đầy đủ phụ kiện, giao hàng siêu nhanh cám ơn shop cho shop 5 sao",4,06 thg 4 2023
,4,29 thg 7 2020
,4,11 thg 10 2022
Ok ,4,27 thg 11 2023
,4,18 thg 10 2022
"Đã nhận được hàng, đóng gói cẩn thận, hàng giống mô tả , giao hàng nhanh, nhiệt tình ",4,03 thg 1 2024
đã nhận ,4,17 thg 10 2023
giao hàng đúng chất lượng.rõ nét.đặc biệt là xem lại rất ok. tốc độ đọc thẻ ok.xem lai nhanh.các bạn mua camera chú ý.đến phần xem lai nhanh.rất quan trọng.hàng shop mới 100%.hôm nào mình đặt hàng tiếp nha shop,4,23 thg 10 2020
"Quá tốt, quá chất lượng
Giá rất phải chăng
Shop giao hàng nhanh lắm ",4,17 thg 9 2023
ok ,4,12 thg 6 2024
,4,07 thg 9 2022
Good,4,13 thg 11 2022
"Chất lượng rất tốt, chính hãng",4,16 thg 10 2020
,4,02 thg 5 2024
sản phẩm ok.tốt hơn ngoài sự mong đợi ,4,16 thg 9 2020
Sản phẩm ok. Chất lượng. Đã xài nhiều . Thấy ổn nên ủng hộ tiếp.,4,21 thg 8 2023
sử dụng tốt,4,13 thg 6 2020
"Camera về lắp đặt rất tốt chất lượng hình ảnh rất nét nhé, nên mua",4,30 thg 6 2023
Sản phẩm tốt,4,17 thg 7 2023
hàng ok ,4,15 thg 9 2023
Camera rõ. Dễ kết nối. 5*,4,04 thg 11 2022
,4,22 thg 9 2022
