Review,Rating,Date
,1,26 thg 4 2024
,3,17 thg 6 2024
,3,16 thg 1 2024
"Giám sát trong nhà đáng tin cậy, Kết nối mượt mà và ổn định, Âm thanh hai chiều tiện lợi,  ",3,17 thg 9 2024
sản phẩm như mô tả. giao hàng nhanh giá cả hợp lý.  ,3,18 thg 8 2024
,3,19 thg 1 2024
,3,06 thg 8 2024
,3,01 thg 10 2024
"Giám sát trong nhà đáng tin cậy, Kết nối mượt mà và ổn định, Âm thanh hai chiều tiện lợi,  ",3,18 thg 7 2024
sản phẩm như mô tả. giao hàng nhanh giá cả hợp lý.  ,4,28 thg 6 2024
,4,25 thg 12 2023
ok djfbfjfbfnff f. f ff. f f f f f f f f. f f ff f f. ff f. ff. f f ff f f. fg g ,4,17 thg 7 2024
,4,08 thg 8 2024
"Dễ dàng cài đặt và lắp đặt, Thiết kế chắc chắn và bền bỉ, Âm thanh hai chiều tiện lợi,  ",4,14 thg 7 2024
"Cua gạch son lớn loại 1
Bao gạch, bao soi đèn
Thương mời ac lên đơn em giao ạ ",4,04 thg 9 2024
,4,18 thg 6 2024
,4,02 thg 8 2024
"Kết nối mượt mà và ổn định,  ",4,10 thg 4 2024
,4,31 thg 8 2024
"Phạm vi phủ sóng rộng, Giám sát trong nhà đáng tin cậy, Tầm nhìn ban đêm chất lượng cao, Dịch vụ khách hàng xuất sắc, Dịch vụ khách hàng xuất sắc,  ",4,15 thg 6 2023
"chất lượng tốt, hàng chính hãng, giá rẽ.
 Giá Cả:rẻ
 Kết nối:tốt
 Độ phân giải:Full HD ",4,11 thg 8 2024
"Kết nối mượt mà và ổn định, Giám sát trong nhà đáng tin cậy, Phạm vi phủ sóng rộng, Thiết kế chắc chắn và bền bỉ,  ",4,31 thg 8 2024
đã mua 3 sản phẩm chất lượng vừa túi tiền rất hữu ích khi nhà có em bé ,5,04 thg 9 2024
"camera dễ cài đặt,xoay 360 độ ,thiết lấp dễ dàng. giá rẻ Chất lượng video rõ nét và sắc nét,  ",5,03 thg 5 2024
sản phẩm ok nhưng khó kết nối wifi với camera .,5,05 thg 9 2024
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,11 thg 8 2024
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,31 thg 8 2024
,5,04 thg 9 2024
,5,03 thg 5 2024
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,05 thg 9 2024
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,11 thg 8 2024
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,31 thg 8 2024
,5,04 thg 9 2024
,5,03 thg 5 2024
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,05 thg 9 2024
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,11 thg 8 2024
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,31 thg 8 2024
,5,04 thg 9 2024
,5,03 thg 5 2024
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,05 thg 9 2024
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,21 thg 6 2023
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,16 thg 8 2024
,5,4 tuần trước
,5,26 thg 9 2024
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,25 thg 9 2023
,5,18 thg 9 2024
,5,16 thg 8 2024
"📺Độ phân giải:  Âm thanh hai chiều tiện lợi, Giám sát trong nhà đáng tin cậy, Kết nối mượt mà và ổn định, Chất lượng video rõ nét và sắc nét,  ",5,3 tuần trước
"Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Âm thanh hai chiều tiện lợi, Tính năng theo dõi chuyển động thông minh,  ",5,15 thg 9 2024
,5,22 thg 9 2024
"Chất lượng video rõ nét và sắc nét, Dịch vụ khách hàng xuất sắc,  ",5,12 thg 8 2024
,5,18 thg 9 2024
"📺Độ phân giải:  ổn
 📱Truy cập từ xa:  ok
Dịch vụ khách hàng xuất sắc, Giám sát trong nhà đáng tin cậy,  ",5,31 thg 3 2024
,5,12 thg 9 2024
,5,3 tuần trước
"Đã mua nhiều lần, Giao hàng nhanh, đóng gói cẩn thận, chất lượng sản phẩm tốt. ",5,11 thg 9 2024
saqn sale đc giá hơn 200k. ko biết độ bền thế nào nhưng tạm thời quá ổn so với giá thành ,5,3 tuần trước
"Giao thiếu cái chân đế nha shop
 ",5,24 thg 9 2024
"Phạm vi phủ sóng rộng, Giám sát trong nhà đáng tin cậy, Dễ dàng thiết lập và cài đặt,  ",5,14 thg 9 2024
"Dễ dàng thiết lập và cài đặt, Kết cấu chắc chắn và bền, Giám sát trong nhà đáng tin cậy,  ",5,2 tuần trước
sdfghjjhgdzgbnnnkiugghhjkkjjnhgffddcbjkiiyggjkjhfxfff ,5,21 thg 8 2024
Đã nhận được sản phẩm từ shop . Shop giao hàng nhanh . Shipper thân thiện ,5,20 thg 9 2024
"Giám sát trong nhà đáng tin cậy, Chất lượng video rõ nét và sắc nét, Kết cấu chắc chắn và bền, Kết cấu chắc chắn và bền,  ",5,20 thg 5 2024
"Kết nối mượt mà và ổn định, Chất lượng video rõ nét và sắc nét, Dịch vụ khách hàng xuất sắc, Kết cấu chắc chắn và bền, moi người nên mua; tang shop nam sao ",5,17 thg 9 2024
"sản phẩm tốt. okiChất lượng video rõ nét và sắc nét,  ",5,31 thg 8 2024
tốt dùng như qc còn chất lượng bền thì chưa biết  ,5,15 thg 11 2023
"Đóng gói sơ sài,nhận đc hộp trong tình trạng móp méo ",5,2 tuần trước
"Giá Cả:  hợp lý
Kết nóii mạng wifi đơn giản
Độ phán 2MP xài tương đối tốt ",5,17 thg 1 2024
tốt ,5,28 thg 11 2022
"📺Độ phân giải:  ok như quảng cáo
 📱Truy cập từ xa:  ok như quảng cáo
 🌙Tầm nhìn ban đêm:  ok như quảng cáo
Tổng thể ok, giá cả hợp lý ",5,01 thg 10 2024
"Mua lần thứ 2. Đúng mẫu kết nối đúng app. Nhưng đóng gói thiếu túi giảm xóc hộp ngoài bị móp. Shop đóng gói cẩn thận hơn nha, lần đầu mua đóng gói kĩ lắm mà  ",5,30 thg 6 2024
"cam mờ k nét bằng hãng yoosee cùng giá tiền mình từng mua

bắt giọng nói nhanh. dễ kết nối

tuy nhiên cảm thấy bảo mật sẽ k tốt. k thấy phần reset camera ",5,13 thg 9 2024
,5,16 thg 8 2024
,5,28 thg 7 2022
,5,24 thg 9 2024
,5,18 thg 7 2024
Sạc và dây không giống hình đăng bán. Do Chăm sóc khách hàng tốt nên tạm dùng. Quay lại đánh giá sau nếu có gì thay đổi ,5,04 thg 4 2024
,5,19 thg 8 2024
chất lượng ok đúng như quảng cáo. Cảm ơn shop ,5,4 tuần trước
"Âm thanh hai chiều tiện lợi, Giám sát trong nhà đáng tin cậy, 
 ",5,06 thg 7 2024
"Kết nối mượt mà và ổn định, Thiết kế chắc chắn và bền bỉ, Chất lượng video rõ nét, Giám sát trong nhà đáng tin cậy, Chất lượng video rõ nét, Giám sát trong nhà đáng tin cậy,  ",5,07 thg 9 2024
"Good camera, I can watch my dog from work, sometimes it’s impossible to connect to the microphone  ",5,05 thg 10 2022
lỗi ko nhận đc thẻ nhớ ,5,20 thg 8 2024
"🌙Tầm nhìn ban đêm:Kết nối mượt mà và ổn định, Kết nối mượt mà và ổn định, Kết nối mượt mà và ổn định, Kết nối mượt mà và ổn định, Kết nối mượt mà và ổn định,  ",5,17 thg 9 2024
"Chất lượng video rõ nét,  ",5,20 thg 9 2024
,5,18 thg 7 2024
"Kết nối:ok
 Giá Cả:ok
 Độ phân giải:ok ",5,22 thg 6 2024
,5,23 thg 7 2024
,5,11 thg 7 2024
"Âm thanh hai chiều tiện lợi, Thiết kế chắc chắn và bền bỉ, Dịch vụ khách hàng tuyệt vời, Dễ dàng cài đặt và lắp đặt, Phạm vi phủ sóng rộng, Kết nối mượt mà và ổn định, Chất lượng hình ảnh ban đêm tuyệt vời, Chất lượng video rõ nét ",5,15 thg 7 2024
"Dịch vụ khách hàng tuyệt vời, Chất lượng hình ảnh ban đêm tuyệt vời, Giám sát trong nhà đáng tin cậy, Kết nối mượt mà và ổn định, Giám sát trong nhà đáng tin cậy,  ",5,06 thg 7 2024
,5,23 thg 9 2024
"Sản phẩm đúng như quảng cáo, giao hàng nhanh, shipper nhiệt tình  ",5,11 thg 7 2024
Camera ổn hình ảnh đẹp sẽ mua thêm lần nữa hình ảnh mang tính chất  ,5,15 thg 2 2024
"Âm thanh hai chiều tiện lợi,  ",5,07 thg 9 2024
"tuyệt, giao hàng nhanh.  hỏi thăm, buổi tối sau khi tắt đèn từ 12h khuya đến 6h sáng thì không có ghi lại hay sao shop?  ",5,09 thg 3 2024
đjhdhhjxjxdjjddjxjjxjxxjxjxjxjxjdjxjxjdjdjdjsjsjsjsjs ,5,26 thg 9 2024
,5,21 thg 5 2024
"Giá Cả:tuyệt vời.ko thể tin nổi. 
 ",5,06 thg 4 2024
,5,08 thg 9 2024
,5,28 thg 8 2024
"Chất lượng sản phẩm tốt,phù hợp với giá tiền.Hy vọng sẽ sử dụng bền. ",5,14 thg 6 2024
,5,01 thg 8 2024
"Chất lượng hình ảnh ban đêm tuyệt vời, Kết nối mượt mà và ổn định, Dễ dàng cài đặt và lắp đặt, Tính năng theo dõi chuyển động thông minh, Kết nối mượt mà và ổn định, Tính năng theo dõi chuyển động thông minh,  ",5,14 thg 7 2024
,5,15 thg 5 2024
,5,05 thg 9 2024
"Giám sát trong nhà đáng tin cậy, Giám sát trong nhà đáng tin cậy,  ",5,3 tuần trước
"cam tốt, nét lắm mọi người ơi. nên mua nha ☺️☺️",5,26 thg 6 2023
,5,4 tuần trước
,5,3 tuần trước
"Dễ dàng thiết lập và cài đặt, Tầm nhìn ban đêm chất lượng cao, Âm thanh hai chiều tiện lợi, Kết cấu chắc chắn và bền, Tầm nhìn ban đêm chất lượng cao,  ",5,13 thg 9 2024
"Giao hàng nhanh, đóng gói cẩn thận. Đã từng mua hàng của shop nên tin tưởng vào sản phẩm.  ",5,14 thg 9 2024
"săn sale nên được giá tốt
trước mình mua con h6c pro 2k êm quá định mua thử con này mà ko ok bằng. để trong nhà thì khá ổn (ko xoay theo khi có người vì con này chỉ có tính năng xoay khi có bất kì chuyển động nào 😑, lá cây rung nó cũng xoay nên tắt cho đỡ phiền) ",5,08 thg 8 2024
,5,11 thg 8 2024
"📺Độ phân giải:  Phạm vi phủ sóng rộng, Kết cấu chắc chắn và bền, Dễ dàng thiết lập và cài đặt, Kết nối mượt mà và ổn định,  ",5,2 tuần trước
OK,5,19 thg 6 2023
"đóng gói cẩn thận thiếu sốp nữa là tuyệt vời.
vận chuyển nhanh chóng. cam độ phân giải tốt.
sẽ mua thêm khi có nhu cầu. ",5,11 thg 9 2024
,5,29 thg 8 2024
"Giá Cả:săn sale được giá tốt 
 Kết nối:kết nối dễ dàng
 Độ phân giải:độ phân giải cao cho hình ảnh rõ nét
cáp sạc dài 2m tiện lợi cho việc lắp đặt  ",5,28 thg 6 2024
"Chất lượng video rõ nét, Thiết kế chắc chắn và bền bỉ, Giám sát trong nhà đáng tin cậy,  ",5,12 thg 7 2024
"Âm thanh hai chiều tiện lợi, Phạm vi phủ sóng rộng, Chất lượng hình ảnh ban đêm tuyệt vời,  ",5,09 thg 8 2024
,5,03 thg 7 2024
"giá rẻ , chất lượng ok , đóng gói cẩn thận . ",5,07 thg 6 2024
,5,16 thg 9 2024
"🌙Tầm nhìn ban đêm:  Âm thanh hai chiều tiện lợi, Giám sát trong nhà đáng tin cậy, Chất lượng video rõ nét và sắc nét, Dễ dàng thiết lập và cài đặt,  ",5,4 tuần trước
,5,22 thg 7 2024
"Dễ dàng cài đặt và lắp đặt, Giám sát trong nhà đáng tin cậy, Dịch vụ khách hàng tuyệt vời, Tính năng theo dõi chuyển động thông minh,  ",5,12 thg 7 2024
"Tính năng theo dõi chuyển động thông minh, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Tính năng theo dõi chuyển động thông minh,  ",5,01 thg 9 2024
"Âm thanh hai chiều tiện lợi, Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,18 thg 9 2024
,5,08 thg 7 2024
sản phẩm rất tốt ,5,09 thg 9 2024
,5,11 thg 8 2024
"Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Dễ dàng thiết lập và cài đặt, Tầm nhìn ban đêm chất lượng cao, Tính năng theo dõi chuyển động thông minh, Chất lượng video rõ nét và sắc nét, Dễ dàng thiết lập và cài đặt, Tầm nhìn ban đêm chất lượng cao, Tính năng theo dõi chuyển động thông minh, Chất lượng video rõ nét và sắc nét,  ",5,3 tuần trước
"Phạm vi phủ sóng rộng, Kết nối mượt mà và ổn định, Giám sát trong nhà đáng tin cậy, Dịch vụ khách hàng tuyệt vời. Sale tầm dưới 300k là ổn. ",5,09 thg 8 2024
"Độ phân giải:  Tầm nhìn ban đêm chất lượng cao, Tính năng theo dõi chuyển động thông minh, Giám sát trong nhà đáng tin cậy, Kết cấu chắc chắn và bền,  ",5,24 thg 8 2024
"Giá Cả: rẻ
 Kết nối: tốt
 Độ phân giải: sắc nét
 ",5,10 thg 6 2024
,5,13 thg 9 2024
"Giao nhanh giá tốt,đúng số lượng ,đúng mẫu,sẽ ủng hộ tiếp trong thời gian tới,cho shop 5 sao. ",5,08 thg 6 2024
"Âm thanh hai chiều tiện lợi, Phạm vi phủ sóng rộng, Dịch vụ khách hàng xuất sắc, . mua lần 3 rồi vẫn ok  ",5,19 thg 9 2024
"📺Độ phân giải:hàng chất lượng.
 📱Truy cập từ xa:nhanh tốt số với tầm giá
 ",5,4 tuần trước
camera ổn trong tầm giá ,5,24 thg 8 2024
"cũng k rõ lắm .tạm đcChất lượng video.Dễ dàng cài đặt và lắp đặt,  ",5,22 thg 7 2024
"📺Độ phân giải:tạm được
 🌙Tầm nhìn ban đêm:tạm được ",5,20 thg 9 2024
"Âm thanh hai chiều tiện lợi, Chất lượng video rõ nét và sắc nét, Dịch vụ khách hàng xuất sắc, Kết cấu chắc chắn và bền,  ",5,10 thg 9 2024
"tốt , chất lượng ,  ",5,13 thg 6 2024
"📱Truy cập từ xa:Tính năng theo dõi chuyển động thông minh, Phạm vi phủ sóng rộng, Chất lượng video rõ nét và sắc nét, Kết nối mượt mà và ổn định,
Tính năng theo dõi chuyển động thông minh, Dễ dàng thiết lập và cài đặt, Kết cấu chắc chắn và bền,  ",5,2 tuần trước
"Phạm vi phủ sóng rộng, Kết nối mượt mà và ổn định, Âm thanh hai chiều tiện lợi,  ",5,31 thg 7 2024
,5,24 thg 8 2024
,5,28 thg 1 2024
hàng đẹp ,5,17 thg 9 2024
"📱Truy cập từ xa:Tính năng theo dõi chuyển động thông minh, Phạm vi phủ sóng rộng, Chất lượng video rõ nét và sắc nét, Kết nối mượt mà và ổn định,
Tính năng theo dõi chuyển động thông minh, Dễ dàng thiết lập và cài đặt, Kết cấu chắc chắn và bền,  ",5,2 tuần trước
