Review,Rating,Date
ok.hang dep,1,28 thg 12 2022
,1,22 thg 1 2022
"Đã mua rất nhiều lần từ shop này, để đấy không nói gì thêm",1,18 thg 7 2023
,1,15 thg 11 2023
,1,11 thg 1 2022
Hàng lúc nào cũng Ok 5 sao,3,18 thg 3 2022
"Tính năng phát hiện chuyển động đáng tin cậy, Chất lượng camera tuyệt vời!, Thiết kế bền bỉ và chắc chắn, Khả năng quan sát ban đêm tuyệt vời,  ",3,14 thg 5 2024
cam xài ok,3,12 thg 8 2022
"sản phẩm nguyên seal, hàng chính hãng nên tâm. đóng gói cẩn thận, nhiệt tình, sẽ ủng hộ shop    jd",4,21 thg 9 2021
,4,06 thg 12 2021
đúng mẫu đẹp nét mjh đã mua rất nhiều,4,09 thg 6 2023
Camera lên hình chuẩn đẹp.đàm thoại được 2 chiều nên rất ưng ý.khi cần hỗ trợ thì shop cũng hỗ trợ thắc mắc nhanh lẹ.nói chung là hài lòng ,4,31 thg 7 2022
,4,05 thg 10 2022
"Hàng shop bán lúc nào cũng ok
Đã đặt rất nhiều rồi 
Rất hài lòng
5 sao",4,25 thg 3 2022
"Sản phẩm tốt , hình ảnh đẹp, giao hàng nhanh , có cơ hội sẽ quay lại ủng hộ shop nhiệt tình OK ,..",4,26 thg 9 2022
,4,20 thg 3 2022
"Cam rất rõ, dễ sử dụng",4,30 thg 12 2021
,4,28 thg 11 2021
,4,06 thg 12 2022
,4,28 thg 4 2022
,5,12 thg 11 2022
,5,12 thg 9 2022
"cam đẹp chuẩn,  rất hài lòng ",5,21 thg 9 2022
,5,06 thg 12 2022
"Dễ dàng thiết lập và sử dụng,  ",5,15 thg 9 2024
,5,29 thg 4 2022
,5,23 thg 12 2022
,5,29 thg 8 2022
"hàng chính hãng, shop đóng gói chắc chắn, giao hàng nhanh.",5,11 thg 3 2023
"Giao hàng củng bình thường.camera củng khá OK,cảm ơn shop nhé.",5,26 thg 5 2022
"Chất lượng camera tuyệt vời!, Thiết kế bền bỉ và chắc chắn, Nhiều lựa chọn lưu trữ, Độ phân giải video cao,  ",5,14 thg 5 2024
chưa sử dụng ,5,30 thg 9 2024
,5,27 thg 8 2024
"cho mik hỏi shop mong shop cho xin sđt để tiện hỗ trợ
camera mik lắp và rất ổn nhưng thẻ nhớ đã lắp vào nhưng camera không nhận mong shop trả lời và đổi lại",5,28 thg 1 2022
,5,16 thg 1 2022
,5,13 thg 6 2022
"sp ok , cài đặt dễ , tốt , cho shop 5*",5,17 thg 4 2023
,5,04 thg 11 2021
,5,22 thg 10 2023
"Cam nét, dễ lắp đặt, cài đặt, dùng ổn định, nhiều tính năng. Loại này ko xem lại tua nhanh được trực tiếp khi dùng khác mạng",5,21 thg 1 2022
,5,2 ngày trước
"Đã mua dùng rồi bây giờ mua thêm 2 cái nữa .đánh giá xài tốt , ủng hộ shop giao hang rất nhanh chóng !!",5,27 thg 7 2022
hàng nhìn đẹp giồna mẫu mã qc. mà thấy vỏ màu hơi mờ. k biết chất lượng ntn. để test sau. dù sao cũng cho 5s,5,10 thg 5 2022
"Sản phẩm ok, chạy ổn, hình nét.ứng dụng chạy trên đthoai mượt. Đóng gói cẩn thận và giao hàng nhanh, sẽ ủng hộ shop nữa ạ.",5,19 thg 8 2021
,5,06 thg 12 2022
,5,26 thg 7 2022
,5,09 thg 11 2021
Sản phẩm Sài OK nha mọi người ,5,10 thg 6 2022
,5,22 thg 6 2022
sp tốt. hình đẹp,5,07 thg 9 2021
,5,11 thg 7 2022
,5,15 thg 11 2022
ok,5,19 thg 4 2022
,5,08 thg 5 2023
hàng chuẩn giá ok mơi lăp thấy rõ . cảm ơn shop cho 5 sao,5,05 thg 6 2023
"cam dùng ok,hơi tối xíu,tốt hay ko còn phải dùng mới biết dc .cho shop 5 sao",5,13 thg 5 2022
mình mua camera+đế+thẻ64gp mà sao shop giao không có thẻ nhớ,5,18 thg 4 2023
sản phẩm chất lượng,5,13 thg 4 2022
Hàng chuẩn mới đã lắp song sẽ ủng hộ tiếp shop nhé ,5,06 thg 10 2021
,5,14 thg 5 2024
,5,09 thg 3 2023
,5,05 thg 7 2022
ok,5,28 thg 3 2022
,5,27 thg 7 2022
mình mua cái này cái thứ 3 rồi.rất tốt,5,17 thg 10 2021
oki,5,30 thg 3 2022
,5,07 thg 3 2022
,5,05 thg 7 2024
"Hàng ok giao hàng nhanh nè 😍
Amazing good chóp",5,28 thg 9 2021
,5,12 thg 10 2022
