Review,Rating,Date
,1,04 thg 8 2023
,1,26 thg 12 2023
"Chất lượng:ko ôkê 

 Hiệu quả:
ko ôkê...............  ",1,21 thg 12 2023
,1,20 thg 12 2022
"Khôi phục cân bằng tự nhiên của da, dùng 1 năm nay thấy ổn. Thanks  ",1,26 thg 12 2023
,1,21 thg 9 2023
Rất là thíchhhhhhh sữa rữa mặtttt hadalabo,1,24 thg 10 2022
dùng ok,1,21 thg 10 2022
,1,09 thg 1 2023
,1,24 thg 2 2024
"Sản phẩm đóng gói cẩn thận, date xa, giao hàng nhanh. Mua ngay frashsale nên giá khá tốt, tiết kiệm ",1,19 thg 9 2022
"Shop đóng gói hàng cẩn thận và giao hàng nhanh vèo vèo, về hsd thì mình thấy đến năm 2027 lận ",1,16 thg 12 2023
,1,03 thg 2 2023
"sữa rửa mặt tốt nha, quá rẻ so với chất lượng sản phẩm. sẽ dùng lâu dài ...................... ",1,15 thg 10 2022
,2,09 thg 5 2023
"thấy review nhiều nên mua về dùng thử xem sao. bọc hàng rất cẩn thận. ship thân thiện, dễ thương ",2,23 thg 10 2023
,2,30 thg 11 2023
"Mang lại làn da khỏe mạnh và sáng rõ, Phù hợp với mọi loại da, Giữ cho da luôn ẩm,  ",2,20 thg 6 2024
"Chất lượng rất ok, đóng gói đẹp, giao hàng nhanh, hàng chính hãng của guardian nên rất yên tâm ",2,22 thg 1 2024
"sữa rửa mặt sạch da mềm mịn không làm khô phù hợp với ai có làn da khô, giá sản phẩm rẻ hợp lý ship nhanh",3,11 thg 9 2022
"Sữa rửa mặt không gây khô da, sạch, không kích ứng Làm dịu và làm dịu da,  ",3,28 thg 12 2023
"𝐇𝐎𝐋𝐈𝐃𝐀𝐘 𝐒𝐄𝐀𝐒𝐎𝐍 🎄🎄
Cuối năm là dịp của  những ngày lễ lớn, những dịp gặp gỡ cuối năm. Nếu đang băn khoăn chưa biết diện gì, thì cùng Maru tham khảo những outfit được chúng mình mix match tỉ mỉ.Với tiêu chí dễ ứng dụng, thời trang và không kén dáng mặc, Maru tin rằng nàng sẽ dễ dàng tìm cho mình itesm ưng ý nhất.

𝐌𝐚𝐫𝐮 𝟒𝟗 Đ𝐨̂𝐧𝐠 𝐂𝐚́𝐜 - 𝐇𝐍
Open : 9am - 10pm
Ship COD toàn quốc đồng giá 30k ",3,14 thg 12 2023
,3,24 thg 9 2022
"mua 2 món mà món nào cũng dính bụi và dơ hết trên hộp, chính hãng nhưng ko biết shop để trong kho như nào nữa 🥺",3,26 thg 2 2023
"Chào bạn, Guardian rất lấy làm tiếc và chân thành xin lỗi bạn khi bạn đã không có trải nghiệm tốt tại gian hàng. Đối với thông tin chia sẻ từ bạn, gian hàng xin ghi nhận và sẽ trao đổi lại bộ phận liên quan nhằm nâng cao chất lượng dịch vụ. Shop rất mong nhận được phản hồi thêm từ bạn để có thể cải thiện hơn trong tương lai. ",3,26 thg 2 2024
"Loại bỏ tạp chất và bụi bẩn hiệu quả, Mang lại cảm giác sạch sẽ và tươi mới,  ",3,29 thg 12 2022
tốt,3,26 thg 1 2024
"Nhẹ nhàng với da, Phù hợp với mọi loại da, Loại bỏ trang điểm hiệu quả,  ",3,27 thg 11 2023
"giao hàng nhanh, rửa mặt cũng nhẹ dịu, đây là tuýt thứ 3 của mình ",3,06 thg 4 2023
"Chất lượng:tốt Kết cấu:lỏng Hiệu quả:ko biết 
giao hàng đúng thời gian dự kiến. Thấy mn dùng nhiều nên mua thử , nếu tốt sẽ mua tiếp. Shop đóng gói cẩn thận , có bọc ở nắp .",3,14 thg 10 2022
"Chào bạn, Guardian xin cảm ơn bạn đã chia sẻ đánh giá tích cực cho gian hàng. Đánh giá của bạn sẽ là động lực để Guardian luôn cố gắng đem đến cho bạn những trải nghiệm mua hàng tốt nhất. Hy vọng Guardian có thể nhận được nhiều đơn hàng từ bạn và đồng hành cùng bạn trong tương lai. Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",4,24 thg 2 2023
,4,13 thg 7 2024
sữa rửa mặt này mình sài rất nhiều lần rồi. dịu nhẹ sạch sâu k gây kích ứng giá siêu rẻ,4,29 thg 11 2023
