Review,Rating,Date
Tốt,1,05 thg 9 2020
giao hàng nhanh check in mã vạch ra nhưng chưa được kiểm chứng chất lượng thế nào ko biết chưa sử dụng ,1,13 thg 12 2022
,1,30 thg 11 2021
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",1,06 thg 3 2021
,1,21 thg 10 2019
,1,21 thg 10 2019
"Đóng gói tốt, giao hàng nhanh, chưa trải nghiệm sản phẩm nên sẽ đánh giá sau",1,13 thg 7 2023
,1,08 thg 8 2023
,1,04 thg 2 2020
,1,09 thg 9 2022
,1,30 thg 11 2021
Hdkejbdkdbfjskdbdjkxnfncjdndnhxakmwyxmehxheoosbd eidjbfksjdjd eudnwhsufnwnjsjdjs,1,26 thg 8 2022
,1,05 thg 10 2021
,1,23 thg 4 2022
,1,05 thg 10 2021
Giao hàng nhanh. Chưa dùng nên k biết thế nào. Đóng gói cẩn thận,1,17 thg 3 2023
,1,04 thg 2 2020
Tốt,1,05 thg 9 2020
,1,15 thg 9 2021
,1,22 thg 8 2021
,1,02 thg 1 2020
,1,16 thg 2 2024
,1,02 thg 1 2020
,2,11 thg 7 2023
,2,20 thg 8 2020
"Sản phẩm đúng với giới thiệu và mô tả , chất lượng tốt , thông tin đầy đủ , giá rẻ , thời gian giao hàng nhanh, nhân viên giao hàng đúng hẹn , ",2,08 thg 2 2023
,2,15 thg 9 2021
,2,22 thg 8 2021
,2,21 thg 10 2019
,2,18 thg 11 2020
,2,14 thg 12 2021
,2,20 thg 8 2020
"đã nhận hàng, không có gì để bàn
để uống coi sao đã hén. haha hihi",2,04 thg 6 2023
,3,26 thg 9 2020
Viên con nhộng nên dễ uống. Uống xong đi vs nước tiểu có màu vàng nên mình nghĩ thuốc có nhiều vitamin c cơ thể ko hấp thu hết nên đào thải ra bớt.,3,07 thg 7 2023
"Đã nhận hàng, giao hàng nhanh. Chưa sử dụng nên không thể đánh giá kết quả , sẽ review sau khi sử dụng. ",3,06 thg 12 2022
,3,14 thg 12 2021
,3,26 thg 9 2020
Tốt,3,05 thg 9 2020
tạm ổn,3,20 thg 6 2023
,3,05 thg 10 2021
,3,21 thg 10 2019
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",3,06 thg 3 2021
,3,19 thg 9 2021
"Giao hàng bình thường, đóng gói sơ sài. Chưa dùng nên chưa biết review sao. Sẽ dùng và review thêm nha",3,27 thg 12 2022
,3,20 thg 8 2020
,3,17 thg 3 2024
,3,22 thg 9 2022
Tốt,3,05 thg 9 2020
"đóng gói chắc chắn, giao hàng nhanh nha, mới đặt hai hôm đã về, đã dùng và thấy hiệu quả nên mua nha mn",3,16 thg 12 2022
,3,05 thg 10 2021
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",3,06 thg 3 2021
,3,19 thg 9 2021
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",3,06 thg 3 2021
"Ko biết tại sao mà hàng hơi bị bụi bẩn ở phía ngoài, cái túi đc tặng cũng có mùi hơi ẩm ẩm khó chịu. Hàng chính hãng DHC thì yên tâm rồi, mua lại được tặng quà nữa.",3,09 thg 8 2022
,3,30 thg 11 2021
,3,08 thg 8 2023
,3,22 thg 8 2021
,3,22 thg 8 2021
Nhân viên giao hàng gian lận  ,3,16 thg 12 2023
"Hàng mua tại laz mall nên tin tưởng, đóng gói khá sơ xài không thấy tem thư cảm ơn hay giấy gói",3,10 thg 3 2023
Đã nhận hàng đầy đủ - giao hàng nhanh chóng mùa dịch- đóng gói cẩn thận. Mới dùng C của DHC nên cũng k biết hiệu quả thế nào.,3,17 thg 9 2021
,3,14 thg 12 2021
,3,20 thg 8 2020
,4,26 thg 9 2020
,4,02 thg 1 2020
,4,04 thg 2 2020
,4,19 thg 9 2021
mới nhận chưa dùng,4,26 thg 10 2022
